t,m_prime,M,torque
-1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.506682191007349791e+00,5.543666210414493166e-03,1.820150912436654532e-04,1.700627412839348556e-04
-1.442568055219803025e+00,1.052609331286733299e-02,6.990416679850769378e-04,6.090722185675528358e-04
-1.378453919432256258e+00,1.527396213599952618e-02,1.526802245032982033e-03,1.237761750732660699e-03
-1.314339783644709492e+00,1.995547604409504683e-02,2.656388035582218574e-03,1.998847082113279494e-03
-1.250225647857162503e+00,2.466677090096169866e-02,4.086395381789052240e-03,2.846291017203549708e-03
-1.186111512069615737e+00,2.945274699654841510e-02,5.820716051887485712e-03,3.742851903331057689e-03
-1.121997376282068970e+00,3.433358663833442626e-02,7.864976926262054122e-03,4.655975640442755817e-03
-1.057883240494522203e+00,3.931527684732140371e-02,1.022559091534807132e-02,5.557710449028017453e-03
-9.937691047069754369e-01,4.439891737518866788e-02,1.290887228701137479e-02,6.424437556599283880e-03
-9.296549689194286703e-01,4.958074120072780006e-02,1.592103441323322946e-02,7.236869599456770621e-03
-8.655408331318817927e-01,5.485211452984267710e-02,1.926818977011029652e-02,7.980050622688469181e-03
-8.014266973443350262e-01,6.020074948592998160e-02,2.295605708340907325e-02,8.639027578633350080e-03
-7.373125615567882596e-01,6.561702089264502546e-02,2.698908386774293705e-02,9.203137697824090302e-03
-6.731984257692413820e-01,7.109228676027422311e-02,3.137127742488985543e-02,9.678087099011656660e-03
-6.090842899816946154e-01,7.661795412463077992e-02,3.610612986573729505e-02,1.007038595351313071e-02
-5.449701541941478489e-01,8.218550953476844168e-02,4.119660300138114351e-02,1.038683766445791350e-02
-4.808560184066010823e-01,8.778651905298137659e-02,4.664512834312566081e-02,1.063453886678772387e-02
-4.167418826190543157e-01,9.341262825480431409e-02,5.245360710248352099e-02,1.082087942725660362e-02
-3.526277468315075492e-01,9.905556222901236441e-02,5.862341019117578433e-02,1.095354244443091062e-02
-2.885136110439607826e-01,1.047071255776212406e-01,6.515537822113190436e-02,1.104050424868932220e-02
-2.243994752564137940e-01,1.103592024158870366e-01,7.204982150448975553e-02,1.109003440222283525e-02
-1.602853394688670274e-01,1.160037563723063936e-01,7.930652005359555001e-02,1.111069569903477133e-02
-9.617120368132026087e-02,1.216328305886164168e-01,8.692472358100392094e-02,1.111134416494076460e-02
-3.205706789377349430e-02,1.272385477197947035e-01,9.490315149947797790e-02,1.110112905756877218e-02
3.205706789377327226e-02,1.328131099340593146e-01,1.032399929219890711e-01,1.108949286635907243e-02
9.617120368132003883e-02,1.383478486133766505e-01,1.119326575036430904e-01,1.108509968133775114e-02
1.602853394688668054e-01,1.438243522742229108e-01,1.209760249280311117e-01,1.107831445641940110e-02
2.243994752564137940e-01,1.492346701616108218e-01,1.303684350661324653e-01,1.105578811080005878e-02
2.885136110439605606e-01,1.545685170438444445e-01,1.401072664128480971e-01,1.100092381654906026e-02
3.526277468315073271e-01,1.598082740139726843e-01,1.501874773984844536e-01,1.089024315665161440e-02
4.167418826190540937e-01,1.649289884897892910e-01,1.606016063887531764e-01,1.069338612500880109e-02
4.808560184066008603e-01,1.698983742138328035e-01,1.713397716847714081e-01,1.037311112643758172e-02
5.449701541941478489e-01,1.746768112533866601e-01,1.823896715230615417e-01,9.885294976670780040e-03
6.090842899816943934e-01,1.792173460004790053e-01,1.937365840755512214e-01,9.178932902357108195e-03
6.731984257692413820e-01,1.834656911718829664e-01,2.053633674495736749e-01,8.196138541061132043e-03
7.373125615567879265e-01,1.873602258091164041e-01,2.172504596878671590e-01,6.872143941263317117e-03
8.014266973443349151e-01,1.908307331501499504e-01,2.293751854140780866e-01,5.136577356827786746e-03
8.655408331318814597e-01,1.937718440042459356e-01,2.417021137152197685e-01,2.927039458702121195e-03
9.296549689194284483e-01,1.960559327240623817e-01,2.541987678633070291e-01,1.547870698217577307e-04
9.937691047069749928e-01,1.975220387929617349e-01,2.668218049586513207e-01,-3.260880943348168533e-03
1.057883240494521981e+00,1.979678544300214893e-01,2.795112289190415100e-01,-7.380588745944092512e-03
1.121997376282068970e+00,1.971497245900339923e-01,2.921903904797431006e-01,-1.224488353470384525e-02
1.186111512069615515e+00,1.947826469635065838e-01,3.047659871934986775e-01,-1.787423553796671852e-02
1.250225647857162503e+00,1.905402719766615127e-01,3.171280634305280177e-01,-2.426903801567360450e-02
1.314339783644709048e+00,1.840630720270464982e-01,3.291493086151978109e-01,-3.140457909544938642e-02
1.378453919432256036e+00,1.749487935288822349e-01,3.406721905125937311e-01,-3.918371143685586006e-02
1.442568055219802581e+00,1.627864773389626762e-01,3.515127478383336945e-01,-4.744304864342241412e-02
1.506682191007349569e+00,1.473833122827117592e-01,3.614742871748932163e-01,-5.594325979514416791e-02
1.570796326794896558e+00,1.287846098314549270e-01,3.703478780846291563e-01,-6.436541329008080292e-02
